ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
21ST CENTURY CHARTER SCH OF GARY,Indiana,1180,1800046,21-Suburb: Large
21ST CENTURY CYBER CS,Pennsylvania,996,4200091,21-Suburb: Large
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,371,3500187,11-City: Large
A E R O  SPEC EDUC COOP,Illinois,†,1700024,21-Suburb: Large
A W BEATTIE CAREER CENTER,Pennsylvania,7,4280010,21-Suburb: Large
A+ ACADEMY,Texas,1678,4800203,11-City: Large
A+ ARTS ACADEMY,Ohio,247,3900305,11-City: Large
A+ CHARTER SCHOOLS (1000166),ARIZONA,370,0400998,23-Suburb: Small
A+ CHILDREN'S ACADEMY,Ohio,107,3901480,11-City: Large
A+ UNLIMITED POTENTIAL,TEXAS,203,4801453,11-City: Large
A-C CENTRAL CUSD 262,Illinois,314,1700105,42-Rural: Distant
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,†,5100033,23-Suburb: Small
A.C.E. ACADEMY,North Carolina,421,3700372,21-Suburb: Large
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,893,2700106,42-Rural: Distant
ABBEVILLE 60,South Carolina,2746,4500690,42-Rural: Distant
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,799,5500030,43-Rural: Remote
ABBOTT ISD,Texas,284,4807380,42-Rural: Distant
ABBY KELLEY FOSTER CHARTER PUBLIC,Massachusetts,1426,2500051,12-City: Mid-size
ABC UNIFIED,California,17612,0601620,21-Suburb: Large
ABERDEEN DISTRICT,Idaho,625,1600030,42-Rural: Distant
ABERDEEN SCHOOL DISTRICT,Washington,3183,5300030,33-Town: Remote
ABERDEEN SCHOOL DISTRICT,Mississippi,924,2800360,42-Rural: Distant
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,4233,4602070,33-Town: Remote
ABERNATHY ISD,Texas,808,4807410,42-Rural: Distant
ABILENE,Kansas,1494,2003180,32-Town: Distant
ABILENE ISD,Texas,14536,4807440,12-City: Mid-size
ABINGDON-AVON CUSD 276,Illinois,906,1701413,42-Rural: Distant
ABINGTON,Massachusetts,2143,2501650,21-Suburb: Large
ABINGTON HEIGHTS SD,Pennsylvania,3403,4202010,21-Suburb: Large
ABINGTON SD,Pennsylvania,8400,4202040,21-Suburb: Large
ABLE CHARTER DISTRICT,CALIFORNIA,1186,0601628,11-City: Large
ABQ SCHOOL OF EXCELLENCE,New Mexico,1005,3500122,11-City: Large
ABQ SIGN LANGUAGE ACADEMY,New Mexico,160,3500123,11-City: Large
ABSAROKEE ELEM,Montana,120,3001710,43-Rural: Remote
ABSAROKEE H S,Montana,74,3001740,43-Rural: Remote
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,921,3400660,21-Suburb: Large
ACADEMIA ANTONIA ALONSO,Delaware,910,1000053,21-Suburb: Large
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,207,0602291,11-City: Large
ACADEMIA MODERNA DISTRICT,CALIFORNIA,408,0602361,21-Suburb: Large
ACADEMIAS LA PAZ,Minnesota,568,2700185,11-City: Large
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,85,2600330,41-Rural: Fringe
ACADEMIC ARTS HIGH SCHOOL,Minnesota,78,2700361,21-Suburb: Large
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,343,3601001,11-City: Large
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Arkansas,1993,0500059,21-Suburb: Large
ACADEMIE LAFAYETTE,Missouri,1425,2900017,11-City: Large
ACADEMIES OF MATH AND SCIENCE,ARKANSAS,486,0514499,12-City: Mid-size
ACADEMY CHARTER HIGH SCHOOL,New Jersey,176,3400048,21-Suburb: Large
ACADEMY CHARTER SCHOOL,New York,2003,3600997,21-Suburb: Large
ACADEMY CHARTER SCHOOL 2 (THE),NEW YORK,468,3680973,21-Suburb: Large
ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,1607,3601169,21-Suburb: Large
ACADEMY DEL SOL INC. (90199),Arizona,729,0400797,21-Suburb: Large
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,280,4800093,11-City: Large
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,1489,0601911,41-Rural: Fringe
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,487,2600166,12-City: Mid-size
ACADEMY FOR INTEGRATED ARTS,Missouri,244,2900604,11-City: Large
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,460,4900017,13-City: Small
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,672,3300040,13-City: Small
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,259,3400741,21-Suburb: Large
